latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.042179107666016,-95.19757080078125,449.0,0,GMT,GMT

time,wind_speed_10m (m/s),wind_speed_100m (m/s),wind_direction_10m (deg),wind_direction_100m (deg),temperature_2m (degC),surface_pressure (hPa),precipitation (mm/h),relative_humidity_2m (unitless),is_day (percent)
2022-12-31 00:00:00,5.456189,10.154802,138.7154,147.87503,-7.35,958.574,0.0,87.63027,0.0
2022-12-31 01:00:00,5.8309517,11.016806,149.03632,156.45995,-6.5,958.46497,0.0,86.69698,0.0
2022-12-31 02:00:00,6.1684685,11.61034,163.03377,169.07724,-5.4,958.31134,0.0,84.498695,0.0
2022-12-31 03:00:00,6.3,12.020399,180.0,183.33841,-4.1,958.1012,0.0,83.05016,0.0
2022-12-31 04:00:00,6.3505907,12.022063,187.23683,191.0295,-3.2,957.4308,0.0,84.439285,0.0
2022-12-31 05:00:00,6.239391,11.806778,186.4415,190.73885,-3.1,956.6948,0.0,86.391716,0.0
2022-12-31 06:00:00,6.264982,11.670903,188.25935,192.36905,-2.95,956.2519,0.0,87.72172,0.0
2022-12-31 07:00:00,6.5115285,12.007082,190.6196,194.9622,-2.8,955.33685,0.0,88.06704,0.0
2022-12-31 08:00:00,6.888396,12.459535,193.43105,198.72588,-2.4,954.7544,0.0,88.104355,0.0
2022-12-31 09:00:00,6.9123073,12.39758,194.23732,199.31195,-2.2,954.51013,0.0,88.45354,0.0
2022-12-31 10:00:00,7.0405965,12.472369,191.4695,195.81926,-2.25,954.02783,0.0,89.447754,0.0
2022-12-31 11:00:00,7.5802374,13.179529,188.34381,191.82146,-2.15,953.7639,0.0,90.126945,0.0
2022-12-31 12:00:00,8.039901,13.267254,185.7105,189.10725,-0.25,952.90643,0.0,90.93935,0.0
2022-12-31 13:00:00,8.21523,13.483693,183.48926,186.38702,0.2,952.332,0.0,89.32049,0.0
2022-12-31 14:00:00,8.221922,13.384319,184.18483,186.43465,0.35,951.88794,0.0,87.389145,1.0
2022-12-31 15:00:00,7.902531,12.739309,181.45018,184.5021,0.6,951.7471,0.0,86.45735,1.0
2022-12-31 16:00:00,7.510659,12.24949,183.05283,185.152,0.9,951.89923,0.1,86.4884,1.0
2022-12-31 17:00:00,7.6164293,12.192621,183.76396,187.06664,1.05,951.8335,0.0,86.50391,1.0
2022-12-31 18:00:00,7.156815,11.458621,187.22423,189.54445,1.3,951.12476,0.0,87.480965,1.0
2022-12-31 19:00:00,6.6483083,10.722406,195.7087,199.61797,1.7,950.44476,0.0,88.47715,1.0
2022-12-31 20:00:00,6.1326995,10.1965685,204.05734,206.81627,1.75,949.7919,0.0,90.09802,1.0
2022-12-31 21:00:00,4.9739323,8.798295,210.17343,211.52213,1.55,949.9428,0.0,91.06643,1.0
2022-12-31 22:00:00,4.080441,7.8873315,216.02747,219.3405,0.95,950.4901,0.0,92.02219,1.0
2022-12-31 23:00:00,3.9698865,7.9630394,229.08571,234.71317,0.15,951.0926,0.0,92.98532,0.0
2023-01-01 00:00:00,3.88973,7.605919,223.95847,230.8696,-0.3,951.3837,0.0,92.62002,0.0
2023-01-01 01:00:00,3.9824615,7.6550636,231.1155,236.7251,-0.4,951.93195,0.0,92.61416,0.0
2023-01-01 02:00:00,3.939543,7.81089,246.0375,251.333,-1.6,952.5485,0.0,91.859474,0.0
2023-01-01 03:00:00,3.7854989,7.532596,257.79956,264.66794,-2.4,952.7695,0.0,91.46516,0.0
2023-01-01 04:00:00,3.5057096,7.1112585,266.72958,273.22446,-2.8,952.785,0.0,90.07604,0.0
2023-01-01 05:00:00,3.3015149,7.0859013,271.73566,278.9305,-3.75,953.2579,0.0,89.322,0.0
2023-01-01 06:00:00,3.324154,7.106335,276.91113,283.84073,-4.3,953.8093,0.0,88.59817,0.0
2023-01-01 07:00:00,3.5128336,7.21734,265.10098,273.9724,-5.1,954.31006,0.0,88.18684,0.0
2023-01-01 08:00:00,3.4014704,7.4431176,268.31534,276.17007,-5.7,954.5666,0.0,87.45328,0.0
2023-01-01 09:00:00,3.4058774,7.5504966,273.3664,281.4587,-6.05,955.2512,0.0,86.40871,0.0
2023-01-01 10:00:00,3.535534,7.5286117,278.13,286.9909,-6.25,955.7773,0.0,85.718895,0.0
2023-01-01 11:00:00,3.0149627,7.05195,275.7105,288.1781,-6.8,956.23157,0.0,85.32329,0.0
2023-01-01 12:00:00,3.1016126,7.203471,271.84756,283.65045,-4.85,956.0606,0.0,84.24001,0.0
2023-01-01 13:00:00,3.3615472,7.940403,292.751,301.08743,-5.1,956.01044,0.0,83.24046,0.0
